lcat,x,y,across,x1,y1,cos,sin,culvert,along
217.0,241090.21042303927,5156792.779633431,9.0,241089.80869955942,5156783.788603554,0.0446359422050587,0.9990033196458692,0.0,6820.0
217.0,241100.20007082477,5156792.333291221,9.0,241099.7983473445,5156783.342261344,0.04463594225048301,0.9990033196438396,0.0,6830.0
217.0,241110.18971861032,5156791.88694901,9.0,241109.78799513046,5156782.895919133,0.0446359422050587,0.9990033196458692,0.0,6840.0
217.0,241120.179366386,5156791.440606806,9.0,241119.7776428225,5156782.449576933,0.044635951500087714,0.9990033192305628,0.0,6850.0
217.0,241130.16901418072,5156790.994264601,9.0,241129.7672907005,5156782.003234724,0.044635942249185115,0.9990033196438975,0.0,6860.0
217.0,241140.15866196627,5156790.547922391,9.0,241139.75693848642,5156781.556892514,0.0446359422050587,0.9990033196458692,0.0,6870.0
217.0,241150.1483097513,5156790.10158018,9.0,241149.74658627147,5156781.110550303,0.04463594220376103,0.9990033196459271,0.0,6880.0
217.0,241160.13795753766,5156789.65523797,9.0,241159.7362340658,5156780.664208093,0.04463594131968228,0.9990033196854282,0.0,6890.0
217.0,241170.12760532228,5156789.2088957615,9.0,241169.72588184243,5156780.217865884,0.0446359422050587,0.9990033196458692,0.0,6900.0
217.0,241180.1172530971,5156788.762553556,9.0,241179.71552952522,5156779.771523683,0.04463595242959055,0.9990033191890322,0.0,6910.0
217.0,241190.10690089274,5156788.31621135,9.0,241189.7051774125,5156779.325181473,0.044635942249185115,0.9990033196438975,0.0,6920.0
217.0,241200.09654867923,5156787.86986914,9.0,241199.69482520776,5156778.878839263,0.04463594127425797,0.9990033196874578,0.0,6930.0
217.0,241210.0861964633,5156787.423526932,9.0,241209.68447298347,5156778.432497054,0.04463594220376103,0.9990033196459271,0.0,6940.0
217.0,241220.07584424876,5156786.97718472,9.0,241219.67412076853,5156777.986154843,0.044635942249185115,0.9990033196438975,0.0,6950.0
217.0,241230.06549203524,5156786.53084251,9.0,241229.66376856377,5156777.539812633,0.04463594127555586,0.9990033196873997,0.0,6960.0
217.0,241240.05513981928,5156786.084500302,9.0,241239.65341633942,5156777.093470424,0.0446359422050587,0.9990033196458692,0.0,6970.0
217.0,241250.0447876047,5156785.638158102,9.0,241249.64306412448,5156776.647128224,0.044635942249185115,0.9990033196438975,0.0,6980.0
217.0,241260.0344353903,5156785.19181589,9.0,241259.63271191047,5156776.200786013,0.04463594220376103,0.9990033196459271,0.0,6990.0
217.0,241270.0240831767,5156784.74547368,9.0,241269.6223597048,5156775.754443803,0.04463594131968228,0.9990033196854282,0.0,7000.0
217.0,241280.01373096072,5156784.299131472,9.0,241279.6120074805,5156775.308101594,0.044635942249185115,0.9990033196438975,0.0,7010.0
217.0,241290.00337874627,5156783.85278926,9.0,241289.60165526642,5156774.861759383,0.0446359422050587,0.9990033196458692,0.0,7020.0
217.0,241299.9930265317,5156783.406447051,9.0,241299.59130305148,5156774.415417174,0.044635942249185115,0.9990033196438975,0.0,7030.0
217.0,241309.98267430745,5156782.960104845,9.0,241309.58095074355,5156773.969074972,0.0446359515455118,0.9990033192285332,0.0,7040.0
217.0,241319.9723221023,5156782.513762642,9.0,241319.57059862243,5156773.5227327645,0.0446359422050587,0.9990033196458692,0.0,7050.0
217.0,241329.96196988772,5156782.0674204305,9.0,241329.5602464075,5156773.076390553,0.044635942249185115,0.9990033196438975,0.0,7060.0
217.0,241339.95161767275,5156781.621078221,9.0,241339.54989419252,5156772.630048344,0.044635942249185115,0.9990033196438975,0.0,7070.0
217.0,241349.94126545923,5156781.17473601,9.0,241349.53954198776,5156772.183706133,0.04463594127555586,0.9990033196873997,0.0,7080.0
217.0,241359.93091324373,5156780.728393801,9.0,241359.5291897635,5156771.737363923,0.044635942249185115,0.9990033196438975,0.0,7090.0
217.0,241369.92056102876,5156780.282051591,9.0,241369.51883754853,5156771.291021714,0.044635942249185115,0.9990033196438975,0.0,7100.0
217.0,241379.9102088143,5156779.835709391,9.0,241379.50848533446,5156770.844679514,0.0446359422050587,0.9990033196458692,0.0,7110.0
217.0,241389.89985660068,5156779.38936718,9.0,241389.4981331288,5156770.398337303,0.04463594131968228,0.9990033196854282,0.0,7120.0
217.0,241399.88950438472,5156778.943024971,9.0,241399.48778090448,5156769.951995093,0.044635942249185115,0.9990033196438975,0.0,7130.0
