cat,x,y
270,324048.024574478,4985160.57334714
271,323998.727533512,4985159.94572581
272,323998.826986482,4985159.95617123
273,409378.814344297,4980605.11778123
274,409378.869210124,4980605.03417656
275,409407.653974226,4980570.44922319
276,409407.558291862,4980570.47829009
277,396516.421501428,4980039.76479626
278,396516.384725402,4980039.6718042
279,396499.464861791,4979993.84143442
280,396499.466209178,4979993.94142534
281,408056.825339514,4976643.49984855
282,408056.778209937,4976643.41165103
283,408046.118247061,4976602.52736249
284,408046.163870112,4976602.61634866
285,408033.689652956,4976573.21749139
286,408033.638585963,4976573.13151371
287,408017.432276359,4976526.53091461
288,408017.445635521,4976526.63001825
289,402679.103132185,4977796.89562626
290,402679.155651151,4977796.81052774
291,402707.770128601,4977756.48333751
292,402707.714709652,4977756.56657657
293,402843.22156686,4977104.10303043
294,402843.304438131,4977104.04706301
295,402884.422368741,4977076.73492736
296,402884.345478406,4977076.79886386
297,402977.702232275,4976390.52509919
298,402977.701245122,4976390.42510406
299,402956.81801361,4976346.00476748
300,402956.895397259,4976346.06810602
301,402608.991665612,4978604.27031556
302,402608.900438092,4978604.22935778
303,402560.418259584,4978594.51478332
304,402560.517042122,4978594.49922664
305,409807.18760072,4977800.50570304
